Neighborhood,IDH-L,IDH-E,IDH-R,IDH
 Irajá,63.0,96.39999999999999,80.10000000000001,79.80000000000001
Bangu,74.6,91.3,72.3,79.4
Saúde,75.5,88.6,73.6,79.2
 Gamboa,75.5,88.6,73.6,79.2
 Santo Cristo,75.5,88.6,73.6,79.2
Cordovil,72.2,93.2,72.0,79.10000000000001
Pavuna,73.8,91.5,71.7,79.0
Anchieta,73.2,92.0,71.2,78.8
Santíssimo,73.9,90.3,69.8,78.0
Galeão,71.3,89.5,72.5,77.8
 Cidade Universitária,71.3,89.5,72.5,77.8
Vicente de Carvalho,70.89999999999999,88.7,72.3,77.3
Jacarepaguá,70.89999999999999,85.8,74.2,76.9
Senador Camará,70.7,90.3,69.5,76.8
Gardênia Azul,71.3,88.0,71.0,76.8
Vigário Geral,69.39999999999999,87.3,72.3,76.3
Colégio,70.6,87.8,70.3,76.2
Sepetiba,68.8,89.0,70.39999999999999,76.1
Cosmos,70.89999999999999,90.60000000000001,66.2,75.9
Caju,73.2,84.3,68.5,75.3
Paciência,69.39999999999999,89.9,66.0,75.1
Cidade de Deus,69.39999999999999,89.4,66.3,75.1
Barros Filho,69.39999999999999,89.8,65.60000000000001,75.0
Inhoaíba,68.30000000000001,89.5,66.3,74.7
Camorim,68.8,83.6,71.3,74.6
 Vargem Pequena,68.8,83.6,71.3,74.6
 Vargem Grande,68.8,83.6,71.3,74.6
Parada de Lucas,67.2,89.0,67.30000000000001,74.5
Guaratiba,69.39999999999999,85.3,68.4,74.4
 Barra de Guaratiba,69.39999999999999,85.3,68.4,74.4
 Pedra de Guaratiba,69.39999999999999,85.3,68.4,74.4
Santa Cruz,67.5,88.7,66.2,74.2
Rocinha,70.6,81.8,67.30000000000001,73.2
Jacarezinho,68.8,86.7,63.800000000000004,73.1
Manguinhos,68.8,84.2,64.8,72.6
Maré,69.3,82.6,64.60000000000001,72.2
Acari,64.9,87.6,63.4,72.0
 Parque Colúmbia,64.9,87.6,63.4,72.0
Costa Barros,64.9,85.6,63.5,71.3
Complexo do Alemão,66.3,83.39999999999999,63.7,70.0
