Neighborhood,Metrics,Metrics Value
Todos os Santos,IDH-E,99.0
Anil,IDH-E,98.2
Vila da Penha,IDH-E,99.2
Andaraí,IDH-E,98.7
Riachuelo,IDH-E,98.9
Campinho,IDH-E,97.5
 Vila Valqueire,IDH-E,97.5
Moneró,IDH-E,98.1
 Portuguesa,IDH-E,98.1
Catete,IDH-E,97.8
Vila Isabel,IDH-E,98.1
Cachambi,IDH-E,98.8
Pechincha,IDH-E,97.8
Freguesia (Ilha),IDH-E,97.89999999999999
Recreio dos Bandeirantes,IDH-E,93.89999999999999
 Grumari,IDH-E,93.89999999999999
Centro,IDH-E,98.1
 Lapa,IDH-E,98.1
Higienópolis,IDH-E,98.3
Santa Teresa,IDH-E,95.0
 Cosme Velho,IDH-E,95.0
Água Santa,IDH-E,96.89999999999999
 Encantado,IDH-E,96.89999999999999
Taquara,IDH-E,95.1
Vila Kosmos,IDH-E,94.89999999999999
Vidigal,IDH-E,90.5
 São Conrado,IDH-E,90.5
Cidade Nova,IDH-E,96.5
 Praça da Bandeira,IDH-E,96.5
Bonsucesso,IDH-E,92.80000000000001
Cocotá,IDH-E,94.89999999999999
 Bancários,IDH-E,94.89999999999999
Maria da Graça,IDH-E,97.39999999999999
 Del Castilho,IDH-E,97.39999999999999
Ribeira,IDH-E,96.1
 Cacuia,IDH-E,96.1
Lins de Vasconcelos,IDH-E,94.5
Engenho Novo,IDH-E,95.3
Zumbi,IDH-E,95.0
 Pitangueiras,IDH-E,95.0
 Praia da Bandeira,IDH-E,95.0
Ramos,IDH-E,94.3
Engenho de Dentro,IDH-E,95.39999999999999
Abolição,IDH-E,96.6
Deodoro,IDH-E,96.3
 Vila Militar,IDH-E,96.3
 Campo dos Afonsos,IDH-E,96.3
Jardim Sulacap,IDH-E,98.9
Oswaldo Cruz,IDH-E,96.5
Olaria,IDH-E,94.89999999999999
Bento Ribeiro,IDH-E,94.69999999999999
Piedade,IDH-E,96.6
Quintino Bocaiúva,IDH-E,95.19999999999999
Rio Comprido,IDH-E,95.5
Praça Seca,IDH-E,94.69999999999999
Jardim América,IDH-E,93.89999999999999
Jacaré,IDH-E,94.1
 Rocha,IDH-E,94.1
 Sampaio,IDH-E,94.1
Freguesia,IDH-E,93.30000000000001
Jardim Carioca,IDH-E,92.7
Engenho da Rainha,IDH-E,94.39999999999999
Brás de Pina,IDH-E,93.8
São Cristóvão,IDH-E,93.30000000000001
 Vasco da Gama,IDH-E,93.30000000000001
Cascadura,IDH-E,92.80000000000001
Parque Anchieta,IDH-E,93.30000000000001
Madureira,IDH-E,94.69999999999999
Pilares,IDH-E,93.2
Tanque,IDH-E,92.9
Estácio,IDH-E,89.7
Curicica,IDH-E,93.5
Penha Circular,IDH-E,91.9
Benfica,IDH-E,90.10000000000001
Paquetá,IDH-E,85.39999999999999
Itanhangá,IDH-E,85.7
Tauá,IDH-E,90.10000000000001
Rocha Miranda,IDH-E,93.4
Marechal Hermes,IDH-E,93.30000000000001
Turiaçu,IDH-E,94.0
Guadalupe,IDH-E,93.4
Inhaúma,IDH-E,93.10000000000001
Campo Grande,IDH-E,93.10000000000001
Cavalcanti,IDH-E,92.4
 Engenheiro Leal,IDH-E,92.4
 Vaz Lobo,IDH-E,92.4
Ricardo de Albuquerque,IDH-E,94.0
Coelho Neto,IDH-E,92.80000000000001
Padre Miguel,IDH-E,92.9
Penha,IDH-E,90.8
Honório Gurgel,IDH-E,93.7
Realengo,IDH-E,93.10000000000001
Senador Vasconcelos,IDH-E,93.5
Tomás Coelho,IDH-E,91.9
Magalhães Bastos,IDH-E,93.89999999999999
Catumbi,IDH-E,92.30000000000001
Jamelão,IDH-E,92.30000000000001
 São Francisco Xavier,IDH-E,92.30000000000001
Vista Alegre,IDH-E,96.39999999999999
 Irajá,IDH-E,96.39999999999999
Bangu,IDH-E,91.3
Saúde,IDH-E,88.6
 Gamboa,IDH-E,88.6
 Santo Cristo,IDH-E,88.6
Cordovil,IDH-E,93.2
Pavuna,IDH-E,91.5
Anchieta,IDH-E,92.0
Santíssimo,IDH-E,90.3
Galeão,IDH-E,89.5
 Cidade Universitária,IDH-E,89.5
Vicente de Carvalho,IDH-E,88.7
Jacarepaguá,IDH-E,85.8
Senador Camará,IDH-E,90.3
Gardênia Azul,IDH-E,88.0
Vigário Geral,IDH-E,87.3
Colégio,IDH-E,87.8
Sepetiba,IDH-E,89.0
Cosmos,IDH-E,90.60000000000001
Caju,IDH-E,84.3
Paciência,IDH-E,89.9
Cidade de Deus,IDH-E,89.4
Barros Filho,IDH-E,89.8
Inhoaíba,IDH-E,89.5
Camorim,IDH-E,83.6
 Vargem Pequena,IDH-E,83.6
 Vargem Grande,IDH-E,83.6
