Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH,Address,location,point,latitude,longitude,altitude,Zones
62,Engenho de Dentro,536.0,79.4,95.39999999999999,82.19999999999999,85.7,"Engenho de Dentro, Rio de Janeiro, Brazil","Engenho de Dentro, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9026591, -43.2967757, 0.0)",-22.9026591,-43.2967757,0.0,North
63,Abolição,467.0,80.5,96.6,79.9,85.7,"Abolição, Rio de Janeiro, Brazil","Abolição, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20755-170, Brasil","(-22.8861614, -43.2998457, 0.0)",-22.8861614,-43.2998457,0.0,North
64,Deodoro,462.0,81.0,96.3,79.7,85.6,"Deodoro, Rio de Janeiro, Brazil","Deodoro, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.851201, -43.3870315, 0.0)",-22.851201,-43.3870315,0.0,West
65, Vila Militar,462.0,81.0,96.3,79.7,85.6," Vila Militar, Rio de Janeiro, Brazil","Vila Militar, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.860348, -43.4028933, 0.0)",-22.860348,-43.4028933,0.0,West
66, Campo dos Afonsos,462.0,81.0,96.3,79.7,85.6," Campo dos Afonsos, Rio de Janeiro, Brazil","Campo dos Afonsos, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21740-000, Brasil","(-22.8795186, -43.3803636, 0.0)",-22.8795186,-43.3803636,0.0,West
67,Jardim Sulacap,1134.0,88.8,98.9,95.7,94.39999999999999,"Jardim Sulacap, Rio de Janeiro, Brazil","Jardim Sulacap, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21741210, Brasil","(-22.8956799, -43.3929967, 0.0)",-22.8956799,-43.3929967,0.0,West
68,Oswaldo Cruz,441.0,81.0,96.5,78.9,85.5,"Oswaldo Cruz, Rio de Janeiro, Brazil","Osvaldo Cruz, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8705266, -43.350194, 0.0)",-22.8705266,-43.350194,0.0,North
69,Olaria,460.0,81.39999999999999,94.89999999999999,79.60000000000001,85.3,"Olaria, Rio de Janeiro, Brazil","Olaria, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8484866, -43.2706124, 0.0)",-22.8484866,-43.2706124,0.0,North
70,Bento Ribeiro,399.0,83.39999999999999,94.69999999999999,77.3,85.1,"Bento Ribeiro, Rio de Janeiro, Brazil","Bento Ribeiro, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8666607, -43.3608367, 0.0)",-22.8666607,-43.3608367,0.0,North
71,Piedade,447.0,79.4,96.6,79.2,85.0,"Piedade, Rio de Janeiro, Brazil","Piedade, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8926665, -43.3110001, 0.0)",-22.8926665,-43.3110001,0.0,North
72,Quintino Bocaiúva,424.0,81.5,95.19999999999999,78.3,85.0,"Quintino Bocaiúva, Rio de Janeiro, Brazil","Quintino Bocaiúva, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8955889, -43.3253269, 0.0)",-22.8955889,-43.3253269,0.0,North
73,Rio Comprido,590.0,75.5,95.5,83.8,84.89999999999999,"Rio Comprido, Rio de Janeiro, Brazil","Rio Comprido, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9279449, -43.2088566, 0.0)",-22.9279449,-43.2088566,0.0,Downtown
74,Praça Seca,498.0,77.8,94.69999999999999,81.0,84.5,"Praça Seca, Rio de Janeiro, Brazil","Praça Seca, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8992621, -43.3527794, 0.0)",-22.8992621,-43.3527794,0.0,West
75,Jardim América,426.0,79.4,93.89999999999999,78.3,83.89999999999999,"Jardim América, Rio de Janeiro, Brazil","Jardim América, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.810005, -43.323212, 0.0)",-22.810005,-43.323212,0.0,North
76,Jacaré,513.0,76.1,94.1,81.5,83.89999999999999,"Jacaré, Rio de Janeiro, Brazil","Jacaré, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8931174, -43.2571998, 0.0)",-22.8931174,-43.2571998,0.0,North
77, Rocha,513.0,76.1,94.1,81.5,83.89999999999999," Rocha, Rio de Janeiro, Brazil","Rocha, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8995624, -43.2488072, 0.0)",-22.8995624,-43.2488072,0.0,North
78, Sampaio,513.0,76.1,94.1,81.5,83.89999999999999," Sampaio, Rio de Janeiro, Brazil","Sampaio, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20725-000, Brasil","(-22.9022287, -43.2602402, 0.0)",-22.9022287,-43.2602402,0.0,North
79,Freguesia,557.0,75.5,93.30000000000001,82.8,83.89999999999999,"Freguesia, Rio de Janeiro, Brazil","Freguesia (Jacarepaguá), Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9408899, -43.3422564, 0.0)",-22.9408899,-43.3422564,0.0,West
80,Jardim Carioca,436.0,79.4,92.7,78.7,83.6,"Jardim Carioca, Rio de Janeiro, Brazil","Jardim Carioca, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8052493, -43.1931949, 0.0)",-22.8052493,-43.1931949,0.0,North
81,Engenho da Rainha,362.0,80.60000000000001,94.39999999999999,75.7,83.5,"Engenho da Rainha, Rio de Janeiro, Brazil","Engenho da Rainha, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20765-171, Brasil","(-22.8626496, -43.2937874, 0.0)",-22.8626496,-43.2937874,0.0,North
82,Brás de Pina,397.0,79.4,93.8,77.2,83.5,"Brás de Pina, Rio de Janeiro, Brazil","Brás de Pina, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.831888, -43.2977309, 0.0)",-22.831888,-43.2977309,0.0,North
83,São Cristóvão,412.0,78.8,93.30000000000001,77.8,83.3,"São Cristóvão, Rio de Janeiro, Brazil","São Cristóvão, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.899318, -43.2219346, 0.0)",-22.899318,-43.2219346,0.0,Downtown
84, Vasco da Gama,412.0,78.8,93.30000000000001,77.8,83.3," Vasco da Gama, Rio de Janeiro, Brazil","Vasco da Gama, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8915219, -43.2267195, 0.0)",-22.8915219,-43.2267195,0.0,Downtown
85,Cascadura,428.0,78.60000000000001,92.80000000000001,78.5,83.3,"Cascadura, Rio de Janeiro, Brazil","Cascadura, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8841816, -43.3283969, 0.0)",-22.8841816,-43.3283969,0.0,North
86,Parque Anchieta,355.0,81.2,93.30000000000001,75.3,83.3,"Parque Anchieta, Rio de Janeiro, Brazil","Parque Anchieta, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8351687, -43.4155827, 0.0)",-22.8351687,-43.4155827,0.0,North
87,Madureira,419.0,76.6,94.69999999999999,78.10000000000001,83.1,"Madureira, Rio de Janeiro, Brazil","Madureira, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.871658, -43.3371976, 0.0)",-22.871658,-43.3371976,0.0,North
88,Pilares,389.0,79.3,93.2,76.9,83.1,"Pilares, Rio de Janeiro, Brazil","Pilares, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8790904, -43.2955477, 0.0)",-22.8790904,-43.2955477,0.0,North
89,Tanque,439.0,77.5,92.9,78.9,83.1,"Tanque, Rio de Janeiro, Brazil","Tanque, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9151927, -43.3557471, 0.0)",-22.9151927,-43.3557471,0.0,West
90,Estácio,413.0,81.2,89.7,77.8,82.89999999999999,"Estácio, Rio de Janeiro, Brazil","Estácio, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9166265, -43.20363, 0.0)",-22.9166265,-43.20363,0.0,Downtown
91,Curicica,362.0,79.3,93.5,75.7,82.8,"Curicica, Rio de Janeiro, Brazil","Curicica, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9519909, -43.3872901, 0.0)",-22.9519909,-43.3872901,0.0,West
92,Penha Circular,444.0,76.9,91.9,79.10000000000001,82.6,"Penha Circular, Rio de Janeiro, Brazil","Penha Circular, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8326425, -43.2842228, 0.0)",-22.8326425,-43.2842228,0.0,North
93,Benfica,376.0,81.0,90.10000000000001,76.3,82.5,"Benfica, Rio de Janeiro, Brazil","Benfica, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8922965, -43.240341, 0.0)",-22.8922965,-43.240341,0.0,Downtown
94,Paquetá,457.0,81.8,85.39999999999999,79.5,82.19999999999999,"Paquetá, Rio de Janeiro, Brazil","Paquetá, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7589261, -43.1091992, 0.0)",-22.7589261,-43.1091992,0.0,North
95,Itanhangá,650.0,75.5,85.7,85.39999999999999,82.19999999999999,"Itanhangá, Rio de Janeiro, Brazil","Itanhangá, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9870911, -43.3049379, 0.0)",-22.9870911,-43.3049379,0.0,West
96,Tauá,416.0,77.10000000000001,90.10000000000001,78.0,81.69999999999999,"Tauá, Rio de Janeiro, Brazil","Tauá, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7977495, -43.1867478, 0.0)",-22.7977495,-43.1867478,0.0,North
97,Rocha Miranda,338.0,76.6,93.4,74.5,81.5,"Rocha Miranda, Rio de Janeiro, Brazil","Rocha Miranda, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8503472, -43.3463053, 0.0)",-22.8503472,-43.3463053,0.0,North
98,Marechal Hermes,366.0,75.2,93.30000000000001,75.8,81.39999999999999,"Marechal Hermes, Rio de Janeiro, Brazil","Marechal Hermes, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8599658, -43.3704561, 0.0)",-22.8599658,-43.3704561,0.0,North
99,Turiaçu,336.0,75.2,94.0,74.4,81.2,"Turiaçu, Rio de Janeiro, Brazil","Turiaçu, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8616631, -43.3418026, 0.0)",-22.8616631,-43.3418026,0.0,North
100,Guadalupe,336.0,75.2,93.4,74.4,81.0,"Guadalupe, Rio de Janeiro, Brazil","Guadalupe, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-020, Brasil","(-22.8376208, -43.3751608, 0.0)",-22.8376208,-43.3751608,0.0,North
101,Inhaúma,324.0,76.1,93.10000000000001,73.8,81.0,"Inhaúma, Rio de Janeiro, Brazil","Inhaúma, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21061310, Brasil","(-22.8715476, -43.2823466, 0.0)",-22.8715476,-43.2823466,0.0,North
102,Campo Grande,351.0,74.7,93.10000000000001,75.1,81.0,"Campo Grande, Rio de Janeiro, Brazil","Campo Grande, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.902953, -43.5591295, 0.0)",-22.902953,-43.5591295,0.0,West
103,Cavalcanti,328.0,75.7,92.4,74.0,80.7,"Cavalcanti, Rio de Janeiro, Brazil","Cavalcanti, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8705266, -43.3165261, 0.0)",-22.8705266,-43.3165261,0.0,North
104, Engenheiro Leal,328.0,75.7,92.4,74.0,80.7," Engenheiro Leal, Rio de Janeiro, Brazil","Engenheiro Leal, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8743923, -43.3255315, 0.0)",-22.8743923,-43.3255315,0.0,North
105, Vaz Lobo,328.0,75.7,92.4,74.0,80.7," Vaz Lobo, Rio de Janeiro, Brazil","Vaz Lobo, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8589721, -43.3278646, 0.0)",-22.8589721,-43.3278646,0.0,North
106,Ricardo de Albuquerque,283.0,76.6,94.0,71.5,80.7,"Ricardo de Albuquerque, Rio de Janeiro, Brazil","Ricardo de Albuquerque, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21640-010, Brasil","(-22.8380924, -43.3963439, 0.0)",-22.8380924,-43.3963439,0.0,North
107,Coelho Neto,299.0,76.4,92.80000000000001,72.5,80.60000000000001,"Coelho Neto, Rio de Janeiro, Brazil","Coelho Neto, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8322449, -43.3501913, 0.0)",-22.8322449,-43.3501913,0.0,North
108,Padre Miguel,313.0,75.2,92.9,73.2,80.4,"Padre Miguel, Rio de Janeiro, Brazil","Padre Miguel, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8788135, -43.4485569, 0.0)",-22.8788135,-43.4485569,0.0,West
109,Penha,373.0,74.3,90.8,76.1,80.4,"Penha, Rio de Janeiro, Brazil","Penha, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8381127, -43.2764454, 0.0)",-22.8381127,-43.2764454,0.0,North
110,Honório Gurgel,303.0,74.8,93.7,72.7,80.4,"Honório Gurgel, Rio de Janeiro, Brazil","Honório Gurgel, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8465751, -43.3561294, 0.0)",-22.8465751,-43.3561294,0.0,North
111,Realengo,316.0,74.4,93.10000000000001,73.4,80.30000000000001,"Realengo, Rio de Janeiro, Brazil","Realengo, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8772743, -43.4301032, 0.0)",-22.8772743,-43.4301032,0.0,West
112,Senador Vasconcelos,302.0,74.5,93.5,72.6,80.2,"Senador Vasconcelos, Rio de Janeiro, Brazil","Senador Vasconcelos, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8953684, -43.5288566, 0.0)",-22.8953684,-43.5288566,0.0,West
113,Tomás Coelho,325.0,74.8,91.9,73.9,80.2,"Tomás Coelho, Rio de Janeiro, Brazil","Tomás Coelho, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20750-371, Brasil","(-22.8676979, -43.3060881, 0.0)",-22.8676979,-43.3060881,0.0,North
114,Magalhães Bastos,318.0,73.2,93.89999999999999,73.5,80.2,"Magalhães Bastos, Rio de Janeiro, Brazil","Magalhães Bastos, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8725117, -43.4136384, 0.0)",-22.8725117,-43.4136384,0.0,West
115,Catumbi,324.0,74.3,92.30000000000001,73.8,80.2,"Catumbi, Rio de Janeiro, Brazil","Catumbi, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20251-590, Brasil","(-22.9194542, -43.1970806, 0.0)",-22.9194542,-43.1970806,0.0,Downtown
116,Jamelão,357.0,72.2,92.30000000000001,75.4,80.0,"Jamelão, Rio de Janeiro, Brazil","Jamelão, Grajaú, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.933564349999997, -43.26178402800295, 0.0)",-22.933564349999997,-43.26178402800295,0.0,North
117, São Francisco Xavier,357.0,72.2,92.30000000000001,75.4,80.0," São Francisco Xavier, Rio de Janeiro, Brazil","São Francisco Xavier, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20550-011, Brasil","(-22.9047617, -43.2440314, 0.0)",-22.9047617,-43.2440314,0.0,North
118,Vista Alegre,473.0,63.0,96.39999999999999,80.10000000000001,79.80000000000001,"Vista Alegre, Rio de Janeiro, Brazil","Vista Alegre, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8296244, -43.3151276, 0.0)",-22.8296244,-43.3151276,0.0,North
119, Irajá,473.0,63.0,96.39999999999999,80.10000000000001,79.80000000000001," Irajá, Rio de Janeiro, Brazil","Irajá, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8351129, -43.3233619, 0.0)",-22.8351129,-43.3233619,0.0,North
120,Bangu,296.0,74.6,91.3,72.3,79.4,"Bangu, Rio de Janeiro, Brazil","Bangu, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8753053, -43.4648805, 0.0)",-22.8753053,-43.4648805,0.0,West
121,Saúde,320.0,75.5,88.6,73.6,79.2,"Saúde, Rio de Janeiro, Brazil","Saúde, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8971835, -43.1841545, 0.0)",-22.8971835,-43.1841545,0.0,Downtown
122, Gamboa,320.0,75.5,88.6,73.6,79.2," Gamboa, Rio de Janeiro, Brazil","Gamboa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20220-360, Brasil","(-22.8977491, -43.1929041, 0.0)",-22.8977491,-43.1929041,0.0,Downtown
123, Santo Cristo,320.0,75.5,88.6,73.6,79.2," Santo Cristo, Rio de Janeiro, Brazil","Santo Cristo, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9007657, -43.2033933, 0.0)",-22.9007657,-43.2033933,0.0,Downtown
124,Cordovil,290.0,72.2,93.2,72.0,79.10000000000001,"Cordovil, Rio de Janeiro, Brazil","Cordovil, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8194378, -43.2915908, 0.0)",-22.8194378,-43.2915908,0.0,North
